,id,full_name,first_name,last_name,is_active
440,1631101,Shaedon Sharpe,Shaedon,Sharpe,True
441,1627783,Pascal Siakam,Pascal,Siakam,True
442,1629735,Chris Silva,Chris,Silva,True
443,1627732,Ben Simmons,Ben,Simmons,True
444,1630250,Marko Simonovic,Marko,Simonovic,True
445,1629014,Anfernee Simons,Anfernee,Simons,True
446,1630579,Jericho Sims,Jericho,Sims,True
447,203935,Marcus Smart,Marcus,Smart,True
448,1630696,Dru Smith,Dru,Smith,True
449,202397,Ish Smith,Ish,Smith,True
450,1630188,Jalen Smith,Jalen,Smith,True
451,1628372,Dennis Smith Jr.,Dennis,Smith Jr.,True
452,1631095,Jabari Smith Jr.,Jabari,Smith Jr.,True
453,1631110,Jeremy Sochan,Jeremy,Sochan,True
454,1630531,Jaden Springer,Jaden,Springer,True
455,1630205,Lamar Stevens,Lamar,Stevens,True
456,1630191,Isaiah Stewart,Isaiah,Stewart,True
457,1629622,Max Strus,Max,Strus,True
458,1630591,Jalen Suggs,Jalen,Suggs,True
459,1628410,Edmond Sumner,Edmond,Sumner,True
460,1631306,Cole Swider,Cole,Swider,True
461,1630256,Jae'Sean Tate,Jae'Sean,Tate,True
462,1628369,Jayson Tatum,Jayson,Tatum,True
463,1630678,Terry Taylor,Terry,Taylor,True
464,202066,Garrett Temple,Garrett,Temple,True
465,1631207,Dalen Terry,Dalen,Terry,True
466,1628464,Daniel Theis,Daniel,Theis,True
467,1630560,Cam Thomas,Cam,Thomas,True
468,202691,Klay Thompson,Klay,Thompson,True
469,1630550,JT Thor,JT,Thor,True
470,1629680,Matisse Thybulle,Matisse,Thybulle,True
471,1630214,Xavier Tillman,Xavier,Tillman,True
472,1630225,Isaiah Todd,Isaiah,Todd,True
473,1630167,Obi Toppin,Obi,Toppin,True
474,1629308,Juan Toscano-Anderson,Juan,Toscano-Anderson,True
475,1626157,Karl-Anthony Towns,Karl-Anthony,Towns,True
476,1629018,Gary Trent Jr.,Gary,Trent Jr.,True
477,200782,P.J. Tucker,P.J.,Tucker,True
478,1626167,Myles Turner,Myles,Turner,True
479,1630649,Stanley Umude,Stanley,Umude,True
480,202685,Jonas Valanciunas,Jonas,Valanciunas,True
481,1627832,Fred VanVleet,Fred,VanVleet,True
482,1629020,Jarred Vanderbilt,Jarred,Vanderbilt,True
483,1630170,Devin Vassell,Devin,Vassell,True
484,1629216,Gabe Vincent,Gabe,Vincent,True
485,203943,Noah Vonleh,Noah,Vonleh,True
486,202696,Nikola Vucevic,Nikola,Vucevic,True
487,1629731,Dean Wade,Dean,Wade,True
488,1630532,Franz Wagner,Franz,Wagner,True
489,1629021,Moritz Wagner,Moritz,Wagner,True
490,1630688,Ish Wainright,Ish,Wainright,True
491,1631133,Jabari Walker,Jabari,Walker,True
492,202689,Kemba Walker,Kemba,Walker,True
493,1629022,Lonnie Walker IV,Lonnie,Walker IV,True
494,202322,John Wall,John,Wall,True
495,203933,T.J. Warren,T.J.,Warren,True
496,1629023,P.J. Washington,P.J.,Washington,True
497,1630613,Duane Washington Jr.,Duane,Washington Jr.,True
498,1631102,TyTy Washington Jr.,TyTy,Washington Jr.,True
499,1629139,Yuta Watanabe,Yuta,Watanabe,True
500,1630322,Lindy Waters III,Lindy,Waters III,True
501,1630570,Trendon Watford,Trendon,Watford,True
502,1631212,Peyton Watson,Peyton,Watson,True
503,1631104,Blake Wesley,Blake,Wesley,True
504,201566,Russell Westbrook,Russell,Westbrook,True
505,1629632,Coby White,Coby,White,True
506,1628401,Derrick White,Derrick,White,True
507,1631298,Jack White,Jack,White,True
508,1630580,Joe Wieskamp,Joe,Wieskamp,True
509,1630598,Aaron Wiggins,Aaron,Wiggins,True
510,203952,Andrew Wiggins,Andrew,Wiggins,True
511,1629623,Lindell Wigginton,Lindell,Wigginton,True
512,1631214,Alondes Williams,Alondes,Williams,True
513,1631495,Donovan Williams,Donovan,Williams,True
514,1629684,Grant Williams,Grant,Williams,True
515,1631114,Jalen Williams,Jalen,Williams,True
516,1631119,Jaylin Williams,Jaylin,Williams,True
517,1629026,Kenrich Williams,Kenrich,Williams,True
518,1631109,Mark Williams,Mark,Williams,True
519,1630172,Patrick Williams,Patrick,Williams,True
520,1630533,Ziaire Williams,Ziaire,Williams,True
521,1629057,Robert Williams III,Robert,Williams III,True
522,1631246,Vince Williams Jr.,Vince,Williams Jr.,True
523,1629627,Zion Williamson,Zion,Williamson,True
